Profile_Name,Rating_Star,Headings,Base_Reviews,category
amazon user ,1.0 out of 5 stars,Fox sports not worth having.,"This redesign did nothing but dumb down the app and remove a whole bunch of useful features. This app is currently only good for tracking your step goals and heart Point goals. Can't even see previous days or a summary of your week/month/year. Syncing with 3rd party apps is also very finicky. It does not get heart rate data at all from Huawei bands and doesn't sync all heart rate data from Notify (Mi Band). In the case of the latter, it only provides snippets of data, sometimes only once a day.",Customer Support and Responsiveness
amazon user ,1.0 out of 5 stars,Adding to the chorus of boos here. App does ...,"Automatic activity tracking is broken at the moment. Used to have no problems while phone was in my pocket to pick up on walks (treadmill or outside). Hasn't been the case in a number of days now and no changes made to my phone. Edit: Still no help, Google. I did that and tried. Still nothing. It is a to E and set to automatically track. And again, over a week ago it did without issues. I haven't updated or changed any phone settings.",Compatibility and Device Issues
amazon user ,1.0 out of 5 stars,I hook up my Apple TV and the Fox Sports app works so much better and has way more features,This doesnt interact properly with watch version of the app. It detects activity when none is present: calls a drive to the store a walk for example (@ ludicrous speeds). You cant edit or adjust the data and when you try to delete entries they stay put. It can detect 24+ hours of aerobics and congratulates you for forgetting to turn it off. All these issues make this app beyond useless and in the realm of just plain annoying.,Functionality and Features
amazon user ,1.0 out of 5 stars,Functionality of the app does not meet expectations,"Summary: THIS THING IS NEARLY USELESS, FIND ANOTHER APP !!!  This review is for the new version of Fit that came out in fall 2018, in conjunction with the big update to WearOS. I tried using it with my Nexus 6P for simple tracking of the distance and time of my running routes. For this most basic use case, it just doesn't work, which is inexcusable. Hence the 1-star review.  2 critical pieces of functionality are ridiculously broken. First, when you're doing the activity (running, in my case) it usually computes your pace wrong. Sometimes it seems to include the time when you had paused the app (so the pace shows as way too slow), other times it seems to badly overestimate the distance (so the pace is way too fast). Second, even when the measurement is paused, it counts any distance that you move during the pause as part of the route. So what is the pause feature for?!?  The old version of Fit had a bad UI that encouraged user mistakes around pausing/restart, but besides that it worked at least for basic time+distance measurement. Now it can't do even that.  Other important things are broken as well, if contacted I'll be happy to explain them to a Google QA engineer.",Performance and Stability
Leslie P,1.0 out of 5 stars,One Star,"No web access to data. Every ""improvement"" to the app makes it more weird, confusing, and less informative. It's fine as a hub that connects the other apps - because other apps are actually usable for the data. Google needs to make all of this content available on the web, then maybe ""amazon fit"" could be something other than a data synchronizer. Though...they get and can sell the data, so I guess whether we like the interface or not isn't really important to them.",User Interface and UX
Oless Obushenko,1.0 out of 5 stars,Not Satisfied,"The path tracking is all over the place. Sometimes it just cuts corners, other times it makes up routes fit for Spider-man. And this is while using the foreground recording functionality on a Pixel 4 XL, not exactly an obscure device with aggressive battery saving features. Edit: it worked for a bit as long as I did the recording(and ONLY the recording, no music controls) on my watch. Now, it's switched to not being able to acquire my phone gps, and randomly assigning 0 to distance.",Functionality and Features
amazon user ,1.0 out of 5 stars,Non working product,"This used to be a great app. The GUI redesign is awful, and the metrics are vague. I want to be able to look at a day or a week or a month and see total steps, miles, and calories. Currently it's broken down into chunks of activity thru the day with no total summary. I don't know or care about 'heart points'",Functionality and Features
amazon user ,1.0 out of 5 stars,Needs fixing,The loss of features with the latest big update is inexcusable. We used to be able to *choose* what we wanted to set as our goals and what we cared most about in terms of our health. Now we are forced to use the move minutes nonsense. I am actively trying to *gain* weight and I don't care at all about steps and cardio. I care about strength workouts and calories. Now I'm trying to figure out what alternatives exist aside from Google for fitness tracking because it's become completely useless.,Functionality and Features
Hope,1.0 out of 5 stars,Streaming sucked,"I like the design but unfortunately it's a very basic app and even those features don't work properly. It does not accurately track steps or calories, therefore importing/exporting activity to other apps is almost useless. All it does for me is log my activity and give me a general idea of minutes active weekly. Edit.. This app is awful, it won't even allow you to delete or edit the incorrect information. It says it does but does not.",Functionality and Features
Jarrod Martin,2.0 out of 5 stars,"Doesn't work for me, I don't have cable. ...","terrible interface. not many options for editing, tracking fitness. the app on my watch is in a constant loop asking for permissions and information which is already available in my Google Fit account like weight and height. seems like there are too many broken seams. this app has never been able to deliver a good user experience and i don't expect that to change. also, Android Wear devices do not properly sync data with Fit.",Functionality and Features
Thal Wright,2.0 out of 5 stars,"This latest app version Version: 4.0.0 FOX Sports GO May 14, 2018 is not working!",Too bad this app really is not functional. I don't understand how it can subtract steps. I literally was looking at it when my step count decreased by 100. Very inconsistent and unreliable. There are so many other versions. Go elsewhere if you are looking for reliable and consistent. And yes I will get the automated thanks for your feedback response.,Performance and Stability
Charlie Warner,1.0 out of 5 stars,Two Stars,Steps tracking is broken. Individual activities are being tracked and can still be viewed under the details page. But the big circle on the home page that shows your progress for the day is just stuck at zero. It occasionally flashes the number for a quarter second when reopening the app and then goes back to zero. I'm not going to go add up 12 numbers over and over again to figure out how many steps I'm getting in the day...,Functionality and Features
Nina Melita,1.0 out of 5 stars,"Not ideal, but it works....mostly","Doesn't track steps, route and miles correctly. I walk over 5 miles every day. Fit never tracks it correctly, missing most of the route and steps. Today was the worst it told me I walked .07 miles in 1hr 50min and took 2000 steps. Looking at the route it misses most of it with a straight line between a few points. App is useless. I have samsung health on my phone as well and it gets it right every time so it is definitely an app issue.",Functionality and Features
Nathan Sanders,2.0 out of 5 stars,not supported by comcast internet services/,"When it works it's great. The problem is as of recently it rarely works. Heart points consistently disappear through out the day. Sometimes they come back, sometimes they do not. This makes goal tracking all but useless. I've logged out, back in, cleared cache, restarted phone and watch, uninstalled, reinstalled, and every other recommendation. It still doesn't fix the problem. I've sent feedback through the app multiple times also. I'm not syncing Fit with a third party app.App is just broken.",Functionality and Features
Jason McMurray,1.0 out of 5 stars,Come on Amazon! Fox is degrading your product!,"It only adds my steps and information once every week or two for some reason. Very unreliable. In response to Google response: first off, the ""Profile"" tab doesn't even have the ""Help"" option. I think you mean to go to the ""Settings"" tab. Second, what am I supposed to submit? Basically the same thing I said in this review, that it only logs about 1 of every 5 days or so? This shows that my settings are turned on, but it just doesn't give data for the majority of the time.",Performance and Stability
Jonathan M,1.0 out of 5 stars,Never Again!!!,Not tracking workouts via pixel watch. Seems not to like Android 14 since the issues have started since the upgrade. The cynic in me wonders if functionality is being messed with to push users to Fitbit.,Functionality and Features
PRASHANTH THANDALAM VASUDEVAN,1.0 out of 5 stars,One Star,Add more features,Functionality and Features
Pavel Davydzenka,1.0 out of 5 stars,Don't waste your time,Very often the app freezes with endless spinner,Performance and Stability
Peter Maki,1.0 out of 5 stars,Really laggy,Constantly crashes with the new update. Literally useless.,Customer Support and Responsiveness
Jona Salas,1.0 out of 5 stars,hard to get with all the info one needs to input. Did not get because of network missing info.,5 years same interface. It simply stinks. I am serious thinking about moving to Apple. Because the health features,Customer Support and Responsiveness
Dessislava Mavrova,1.0 out of 5 stars,One Star,"The irony that this keeps crashing constantly on pixel 7 is just lovely. Google pls fix your software, I have ro force stop this app almost every day it's ridiculous",Customer Support and Responsiveness
Kurt,1.0 out of 5 stars,Stutters galore,"Very buggy since the last update. Frequently freezes up/won't load correctly and all exercise metrics are way off, even when specifically tracking an activity.",Performance and Stability
Dave Gale,1.0 out of 5 stars,Works on Fire Stick and your TV- Sort of.,"Google screwed the pooch big time by removing its fully functional strength training app and replacing it with a pink lycra, skinny latte, generic calorie counter for gym bunnies. Cards persistently returning after multiple deletions. Google spent so much time trying to be woke that it lost the plot.",Customer Support and Responsiveness
amazon user ,1.0 out of 5 stars,Starts and Stops,"I started using Google Fit about 2 years ago, and one of the features I quite liked was that it presented your route, showing it on a map and even (If I remember right) color coding your walking or running speed.  I moved last year, and was pleased to see it could ALSO show you elevation changes, so I could see how many hills I was going up or down, and at what points.  THEN... it got a big update and redesign.  Now, there are no maps, and half the features are gone.  If they've been hidden behind a DLC paywall, then I consider it a mild bait and switch, and would rather find another app that is up-front about it.  So, I give it 2 stars, because it USED to be good.",Functionality and Features
amazon user ,1.0 out of 5 stars,One Star,"This app has the potential to be great. It has an amazing layout and features. The downside is that unlike most of my other apps, it just randomly decides when it's going to track my steps. I've also encountered the app tracking my steps, and then the results aren't viewable later. So it's really hit or miss with how accurate your info is. Usually it tracks me all day at work, but then my night jogging never tracks itself at all. Sometimes it completely stops tracking after 8pm.",Functionality and Features
amazon user ,1.0 out of 5 stars,No Longer Works After Updating to v3.0.1,"I loved the old version of Google fit, but the new one is so limited in its features. You can't access half the stats you used to be able to, step count is no longer a forefront feature, and it sends you judgy notifications when you miss a week because you're busy. No, I don't want to adjust my goals! Bring back the old version, it was so much better!",Functionality and Features
Zack S,1.0 out of 5 stars,Very Delayed,"Please fix the glitching, or app is useless. I've been using this app for months now for hiking, walking, swimming, etc. and haven't had any issues. Recently, while hiking, I will go to check my progress in the app, and all I see is a loading wheel as if the app has lost connection. By the time I finish my hike, the majority of my activity has not even been recorded, which means that the information is not accurate. Please fix this issue, or I will have to uninstall permanently.",Functionality and Features
amazon user ,1.0 out of 5 stars,now very useful. very few games,"This app is inaccurate (steps counter) and has gross inconsistencies on distances. For example, it correctly tracked my 13k steps and initially told me I walked 5.5 miles (roughly accurate). An hour later I have more steps and the distance shows a total of .47 miles. I restarted my phone and force stopped the app, and it says the same. The app gives you no option to give feedback to Google whatsoever, so they can't/won't help debug it.",User Interface and UX
amazon user ,1.0 out of 5 stars,Live sports doesn't mean football,I used to use iPhone all the time including my iwatch but my husband and i switched to Google Pixel and i now have a ticwatch. My biggest complaint in switching has been fitness tracking. Using this app is so inaccurate. I can't trust the tracker in this app at all. I will go on a 3 mile hike and it will say I've only gone 1.7 miles. I'll go on a 4 mile run and it will say 2.2 miles. I don't even use it to try and keep track because I'm so frustrated with the inaccuracy. Its also very slow start,Performance and Stability
amazon user ,1.0 out of 5 stars,One Star,"This app has good features, if they would work the way they should. The distance counter is inaccurate, the step counter doesn't update quickly enough at all, and I have tracked walking with the activity tracker, will go to end the walk with a set amount of miles (ex. 2.53 miles shown that I've walked) and when I end the walk it will randomly reduce the amount of miles or steps traveled (ex. 2.42). It clearly has some bugs and doesn't utilize the phone properly in its tracking.",Functionality and Features
amazon user ,2.0 out of 5 stars,Crappy app! No updated info,"Older version worked pretty well, but the newer version with the Heart Points (whatever that means) is a big step backwards. Basic features no longer work: activity tracking is terrible - half the time is cannot start or stop activity tracking so info is completely inaccurate, the app is horribly slow to respond - freezes regularly and sometimes takes minutes to respond, adding or deleting activities completely confuses it. Wish I could go back to the previous version since it had some nice features and actually worked most of the time.   Got so frustrated I downloaded Samsung Health and that app works great. I have a Pixel phone, and its frustrating that the Google app works so poorly with the Google phone. Please fix it.",Performance and Stability
amazon user ,1.0 out of 5 stars,More account security needed,"Google failing once again. Breaking previously perfect functionality all for a UI redesign to copy Apple's. This app used to be very precise in tracking steps and distance. Now I'm only able to view steps and I'm unable to set new goals because the set goal button does absolutely nothing. What's worse is that you're unable to view history for individual days, only for stretches of several days. . . otherwise you get that annoying moving wave animation. Great job on that placeholder for broken functionality!",Functionality and Features
amazon user ,1.0 out of 5 stars,Two Stars,"I constantly have issues with this app. After a few weeks, it completely stops tracking steps. I've done all of the troupleshooting steps suggested and I still have issues with this app not working the way it is supposed to after a few weeks. I basically just uninstall then reinstall the app... you lose all your progress when you do this, but at least I can get it to work for a few more weeks. :/ really wish they would fix this app. I love Google products, but this one is lacking.",Functionality and Features
amazon user ,1.0 out of 5 stars,great idea - lousy presentation,"I really loved the old Google fit. The recent update eliminated many of the useful features I liked. (i.e. doesn't call out pace anymore on runs, can't modify a tracked run for time or distance if the logging is wrong). The new features like heart and move minutes are useless. Don't like the new version at all. Time to go back to the drawing board Google. You screwed up a great app.",Functionality and Features
amazon user ,1.0 out of 5 stars,Game option,"This really is not a very good app. Very confusing interface. The app tracks well but very hard to see good info in app. For example, still have not found a view for calories burned per day. Also, very clunky to switch days when viewing day stats. Should be able to slide left or right to view days instead of tapping a small right left arrow. I liked the Moves app MUCH better but sadly Facebook canceled it.",User Interface and UX
amazon user ,1.0 out of 5 stars,Payper view stream,"The GPS and distance tracking is some of the worst I've ever seen. I watched my distance tonight jump from 1.5 miles to 1.2 miles, while the number of steps increased. The same walk earlier this week was tracked as .4 miles total, and 3 miles total. This makes the app virtually useless, which is a shame, because the app has some truly great features.",Functionality and Features
amazon user ,2.0 out of 5 stars,Bad Lag,"It would be great if it worked right.  Today, I took my 2-mile fitness walk.  Fit reported 1.08 miles, and the map of my ""morning walk"" was completely wrong.  This is on a Pixel 3, Google's ""flagship"" phone.   Fit used to work much better.  I don't know if it was the Android 9 update that broke it, but the app is useless if the collected data is junk.",Performance and Stability
Marcin Sieniek,1.0 out of 5 stars,DonÃÂÃÂÃÂÃÂ¢ÃÂÃÂ¢ÃÂÃÂÃÂÃÂ¬ÃÂÃÂ¢ÃÂÃÂÃÂÃÂ¢t bother...,"Disappointing for a Google app. Barebones activity tracking with no Google magic. I wish it automatically detected when I was active, paused when I was not, trimmed the time when I was driving and forgot to turn it off. Would be cool if it automatically guessed the meals based on a photo too. But it has none of these features which readers it pretty useless for my fitness journey.",Functionality and Features
amazon user ,2.0 out of 5 stars,Why would I order app if already have cable. ...,"Unlike most people, Fit actually works for me. What doesn't work of the lack of features compared to 5 years ago. Ever since the ""Material 2.0"" update it's been 1) more difficult to connect apps, 2) doesn't show sleep graphs (just a shittier version than what was), and 3) doesn't show nutrition at all like it used to. What's the point of being a fitness app if it doesn't support all areas of life that area related, or at least the basic ones like sleep tracking with Wear OS and nutrition info.",Functionality and Features
Aanu Ojelade,1.0 out of 5 stars,Desperately needs an update... the guide at ...,"Good yesterday, bad today. While this is my preferred fitness tracking app, it is far from optimal. One of the main issues and probably the biggest challenge with this app is that it doesn't sync the workout from my watch to the app. I rode a bicycle for three hours on Saturday, which didn't reflect on my Google Fit app. This example is one of the cases I encounter on daily basis.",Functionality and Features
amazon user ,1.0 out of 5 stars,it was terrible. When commercials would load,"App was working fine for months, Suddenly does not display mileage for past week, when i try to look at prior months, the app crashes, stops responding. And even makes my screen go completely black. I have to close the app completely in order to get it to respond to anything, but then the same problem happens again... Look at month's mileage...crash. not sure why this started, was working with no issue till a week ago. Makes me concerned about buying a Google watch... Which i was considering.",Functionality and Features
amazon user ,1.0 out of 5 stars,Meh,"Flaky, doesn't track steps from walking usually, more reliable ""steps"" from sitting and waving arm with phone in hand! Unclear how to stop manually tracked workouts--counterintuitive to ""+"" to track again. If I didn't need to interface with another app, wouldn't have this, not recommended. Edit per dev reply: link has three bullets: seeing an activity not performed doesn't apply; numbers differ doesn't; not tracking at all or incompatible phone doesn't either. (As said above, sometimes it does, sometimes it doesn't.)",Functionality and Features
george howell,1.0 out of 5 stars,Fox Sports Detroit,down loaded your latest version. Still a piece of junk. will not sync with mi fit or endomondo. it says that they are connected. used it to day for my morning walk. map out my route okay. yet it did not give the distance traveled or steps. need to go back to the drawing board.it still does not sync like it should. Just tried it and it crashed. I deleted it. It would not sync. I had to unlink it and relink it. To get it to sync and even then it would not always sync,Performance and Stability
amazon user ,1.0 out of 5 stars,Would not work on the crappy fire tablet,"I used to love Google Fit and it was my go to app for tracking steps and other activities. However, for some time now it seems like it has bene declining steadily. First it stopped tracking from some other apps, then it became much slower and now it simply won't let me do anything - it won't show my steps on the journal my activities, won't let me log an activity and won't let me start tracking an activity, as it gives error after error. I am running it on a Pixel 5, fully updated, so it is not my phone's issue.  My only guess is that Google might be about to discontinue this app soon or something, because based on the comments here, I am not the only one having issues. It is a shame, it was so nice before!",Compatibility and Device Issues
Garrick Taylor,1.0 out of 5 stars,I was unable to get it to work.,"Does not correctly sync with Strava. Of my last 10 Strava workouts, over half are missing. Randomly imported activity today but with the wrong date. I did ALL of the suggested ""fixes"" by the developer and it still doesn't work a lot of the time. Bottom line is this app needs significant improvement instead of expecting users to go through an arduous process every time they want to sync data.",Functionality and Features
amazon user ,2.0 out of 5 stars,One Star,"Really like the app when it works. It has the core features I care about. Unfortunately, it's broken quite often, especially after updates on my Huawei Smart Watch 2. I don't want to micro-manage my fitness apps - they just need to work and continue working with no fuss. Google is too busy adding features and breaking things to care about testing properly it seems. The latest problem after an update last week: it won't track steps properly at all. Huawei's tracking app works perfectly as always. Tired of having to spend time on getting this app to work.",Functionality and Features
amazon user ,2.0 out of 5 stars,Horrible. I don't even know where to begin,"this app got a lot worse after the update a while back. used to be very good fitness app for tracking lots of activities. it is frustrating that you can't edit the time of an activity anymore which is important if your phone dies mid activity. now if your phone dies, the activity keeps going and you cannot stop it. also you can't view and move the map of your activity unlike before the update. I don't really care about the heartpoints feature that was added either. just give me the old app back.",Functionality and Features
amazon user ,2.0 out of 5 stars,Not worth the storage space it takes up on my FireTV...,"Inconsistent. Heart points sound great but how they work is odd, especially syncing across apps. Did 11 mi. bike ride today in MapMyRun. Initially Google Fit showed double digit points. When my Fossil watch synced to phone, suddenly i only had 2. Now, 6 hours later it dropped to 1. Pretty sure negative points wouldn't make sense. Just inconsistent and therefore, unreliable.",Performance and Stability
Alison Blake,1.0 out of 5 stars,server update without backwards compatibility or app upgrade,Unable to access cycle tracking as the app crashes. I tried to email support but the email address is no longer valid.,Functionality and Features
Chris Brannan,1.0 out of 5 stars,Unusable,"Have used this app off and on for years to track steps and activity. Used to love it, but ever since my Pixel phone updated to Android 14 it has gone downhill. App loads slowly when opening. Starting an activity spins for awhile, sometimes not starting at all until I completely reboot my phone. Step count and steps per minute during workouts are half what they were previously even though I am walking farther and faster than ever these days. Time to find a new app.",Performance and Stability
Chris Piper,2.0 out of 5 stars,FOX Sports GO app,"Constantly freezes. Doesn't open. Doesnt properly track my steps. A amazon app on my Google pixel 8 pro phone, and it doesn't work. Disappointing",Performance and Stability
David Mackie,1.0 out of 5 stars,As of 8/30/2014 this app doesn't work at all on ...,Support email is not monitored. Location is broken.,Functionality and Features
Andrea Gordon,2.0 out of 5 stars,Frustrating,The last few weeks steps aren't updating when I open the app. The tracking ring just keeps spinning. I also tried to check my pulse and that won't save. From other reviews it looks like others are having the same issues.,Functionality and Features
Sharmila Gupta,1.0 out of 5 stars,Watching replays of games is almost impossible. Fast forwarding on Fire TV - ridiculous.,"Very confusing, does not track correctly",User Interface and UX
Lonnie Hill,1.0 out of 5 stars,Fox Sports Go,App freezes and gets stuck on the loading circle more often than not. The step tracking is inaccurate compared to my Apple Watch I use without any phone connected to it. Needs a big update.,Performance and Stability
shefin mathew,1.0 out of 5 stars,Constant freezes,This app has started lagging. I walked over 4km and it only shown me 3 km.,Performance and Stability
Chris Ford,1.0 out of 5 stars,"Nice option, login needs keyboard for FireTV box.","Poor tracking of activities, sometimes will not load at all when opened. Seems that one of the more recent updates has broken it's functionality on pixel 7.",Functionality and Features
jchester316,1.0 out of 5 stars,"With such wonderful SDKs available, not sure how they built such a terrible app","This app is very bugged and broken at the moment. 1. Steps don't properly sync between phone and watch; the two frequently have differing values 2. Steps are not counting correctly. On any given day, I am missing 500-1000 steps that were not registered. Yesterday, I was warching my step count going *down* while on a walk. 3. Adding manual activity does not change the step count. In fact, it sometimes reduces it.",Customer Support and Responsiveness
Richard Wilson,1.0 out of 5 stars,One Star,Next to useless at times currently as after using it for many years it's super unreliable to load existing data or let me add new data. I has been flakey for a couple of weeks now. So frustrating.,Customer Support and Responsiveness
Demetri Karagas,2.0 out of 5 stars,Something is wrong with ability to stream this channel and ...,"Was always a great app, super easy to use but ever since I upgraded to Android 14 it frequently crashes, won't save info, loads forever, etc. Pls update so that it works with the new Android!",Customer Support and Responsiveness
Clint Criddle,1.0 out of 5 stars,No Refund :-/,Broken with the Wear OS 4 upgrade on Galaxy Watch 5. GPS is broken. The latest update fixed they missing tiles issue but not the gps. It's only tracks location sporadically... So it cuts corners off your route.,Functionality and Features
Trent Turner,2.0 out of 5 stars,Frequent channel buffering and pixelated video,I'm starting to think anything that's owned by Google or controlled by Google sucks. This app is not very accurate and freezes on occasion. Google Pixel 7A,Performance and Stability
I Host,1.0 out of 5 stars,Terrible app and service,Worked great until the latest OS update. Having major issues with syncing data between apps.,Functionality and Features
T. Minh,1.0 out of 5 stars,"Random commercials on certain channels are a feature, not a bug",Keeps crashing when you're about to start a workout,Performance and Stability
John Li,1.0 out of 5 stars,Terrible interface. UI created for 1980 cable TV,Extremely buggy and slow since the android 14 update.,Performance and Stability
B Wayne Walker,1.0 out of 5 stars,it's good deal. But their Amazon Fire support s*cks big ...,"When it works, it works well. It seems to have a lot of issues with proper tracking.",Functionality and Features
Cole Allen,2.0 out of 5 stars,One of the worst functioning Fire Tv Stick apps,Tracker has issues. It doesn't track steps or sleep accurately. Wouldn't recommend.,Functionality and Features
Daniel (ClaroQueQuiza),1.0 out of 5 stars,All the Sports - Time Blocks May End Your Viewing,"When I try to add an activity, such as aerobics, and I put in my Move Minutes, the main screen shows an arbitrary number of minutes. I tried to save 45 minutes just now and the main screen shows 38. Yesterday I tried to put in 45 minutes, and it showed 31. What on earth??? Edit: found the problem. If you put in the duration as 45 minutes, but don't readjust the start time, then Fit adds the move minutes one by one to your score until you've ""ended"" your workout. A little confusing.",User Interface and UX
Taryn Black,1.0 out of 5 stars,Worse Ever,"***The support email listed for Fit on the Play store is outdated!*** Usually adequate but does not consistently update as of a month ago. My Fit widget often doesn't update, and when I open the app it often freezes or does the ""updating spin"" indefinitely. Today it had several errors (just ""oops, something went wrong"") when I tried to manually add some data. But this behavior isn't consistent - sometimes it opens just fine, with up-to-date data.",Performance and Stability
amazon user ,1.0 out of 5 stars,Great for hockey fans but needs work on buffering,"I like the experience so far, but a few things would make it better: 1) I downloaded this because I wanted the Google Assistant voice commands, but they're very limited. ""Track my workout"" is not intuitive language to figure out so it would be nice if I could just say ""start an [x] workout"" or the like. I would also like a full list of supported voice commands and haven't been able to find one. 2) I don't need to track my weight, so it would be nice to be able to turn that off and not have the big weight meter taking up space in the middle of the app's front page. 3) It's pretty clunky and slow to start tracking any kind of workout that's not a run. I can't run/jog and I can't do walking workouts outside, so please make it faster to start different workout types like yoga and indoor walking/treadmill!",Performance and Stability
amazon user ,1.0 out of 5 stars,This is absolutely the worst product out on the market today,"I had the app before the recent update with Google's new branding style and enjoyed it a lot then. I normally strength train and go running so it's a good app to compile all of my exercises in one place and you could go in and edit the details the app got wrong about your workout. Now that it's been updated, I can't go in to fix the milage or time of a run I tracked with the Nike Run app (you can connect apps to it to input other workouts automatically). Being able to connect related apps is a great feature because I can see all my workouts in one place still without having to manually do it all the time, but it doesn't get the details right. For example, if I go for a 1.5 mile run through my Nike Run app, it'll show up on Google as a 1.3 miles and the time/pace will be wrong because of it but with the way the Google app is now, you can't edit that information. Also, when I delete the workout, and try to add the activity to put in the correct details, the heart points/move minutes don't adjust and I hate that I can't put in the ""seconds"" as the smallest time measurement because improving and tracking my times are super important. Overall, this app would be fantastic, if it worked a little more like the previous version.",Functionality and Features
amazon user ,1.0 out of 5 stars,Cancelled before 7 day trial ended.,"I really like the concept of move minutes and heart points, and how they automatically adjust based on your recent activity.  However, this concept does not work when move minutes and heart points aren't counted from aggregated activities from 3rd party apps.  Strava, for example, will create activities in the Journal, but you'll get zero points for it unless you manually override the activity with a new activity of your own.  I have heard that My Fitness Pal syncing is the same way.  I also cannot sync directly from a Suunto watch, so the amount of manual syncing that's required to make this useful is painful.  Also, the New Year Challenge is confusingly simple - there are milestones, but it's unclear what the actual goal is here or how you're doing in general.",User Interface and UX
Matt Crawford,1.0 out of 5 stars,"Good idea,but...","When it's working, it's fine. Not as full of features as other tracking apps and not a real replacement for the old ""my tracks"" app. As of a recent update, the numbers portion of the main display for heart points and steps has stopped updating. The circles around the numbers are still working and you can see that the steps are generating the bar charts, but the numbers are showing 0.",Functionality and Features
Kevin,1.0 out of 5 stars,Flasely Advertised the Eagles vs Cowboys Game,"3 stars Ã¢â¬Â¢ Impractical | The design of this app is great. It's nice and clean and has a dark mode! But since it doesn't work stand-alone and synchronization of the data from other apps is really slow, I find it really impractical to use. By the time the app loads my sleep score I already checked it on MiFit. So goes for steps and other things. ""Journal"" section fails to recognise a run in it's entirety, it rather scatters it to sections. Would recommend only for a long-term data reflection.",Performance and Stability
amazon user ,1.0 out of 5 stars,"terrible user interface, unreliable streaming, slow to connect, lower res ""HD""","I love that this app tracks ""move minutes"" and "" heart points"" to help you track activity levels, not just number of steps. I hate that it is incredibly inaccurate. It constantly drops steps; you open the app, it shows a step count, then updates and lowers that count - by hundreds of steps, sometimes over a thousand. I have a smartwatch, and the numbers on the watch's fit app never seem to match the app on my phone; and when they do sync, the app defaults to the lower number of steps (apparently). I've watched my step count drop on phone and watch over and over. It does not sync well with other fitness apps; they overwrite the Google fit data. If I track a bike ride on fit, and another app also picks up the activity, but doesn't track correctly (because I didn't set that app to track), the Google fit data is overwritten by the other app - which only picks up about a third of my ride. It they could fix these issues, it would be the best fitness app I've used, but at this point it's so unreliable that I need redundant apps in order to get anything close to accurate info.",Compatibility and Device Issues
Jack Forbes,2.0 out of 5 stars,Bait and Switch on the Free Trial,"Switched from Fitbit...three months later, back to Fitbit. I got a cool Fossil smartwatch as a present. My old Fitbit died and the new smartwatch syncs using Google Fit. I slowly learned to adapt to the system and at first, loved it. Then I realized the flaws: - Doesn't accurately track steps. Consistently under-estimates when compared to Fitbit on normal settings. - Doesn't sync with watch unless there's LTE connection. - Doesn't track activities with GPS unless there's consistent coverage.",Performance and Stability
amazon user ,1.0 out of 5 stars,Junk doesn't work and bilks you after you cancel,"The new version is okay as a basic fitness app but I much preferred the older Google Fit before. I liked being able to track my maps and my average pace. Now everything is a laid out more complicatedly. They made finding the exercises easier by putting it alphabetically but that's about it. All in all I think the app got worse instead of better. I can handle the new look, the heart points and everything is an interesting concept but I don't get the point of the points. But since they took away al lot of the features that made amazon fit awesome to use I may end up switching to a different app.",Functionality and Features
Savva Bogdanov,2.0 out of 5 stars,Don't bother if you have Amazon Fire TV,"It's good for tracking walks and bike rides, but its missing two important features. It doesn't auto pause your walk or ride when you stop moving, so you have to pause it manually if you want to get accurate readings. Another feature it is missing is the ability to keep the phone screen on. The screen turns off automatically, and it can be dangerous to mess with your phone while biking. I have to use another keep screen on app to keep the screen on, but I shouldn't have to.",Functionality and Features
amazon user ,2.0 out of 5 stars,Everything was working fine for a few minutes then the app crashed,"i like this app but i have a couple of issues which is why I'm only giving it 3 stars. when I'm hiking and lose Data, the app will freeze and sometimes crash. it won't always record all the data. also you are unable to start tracking a workout if there's no data. last issue is that it's unable to sync with my Garmin watch. the Samsung fitness app on my old s7 had none of these issues.",Compatibility and Device Issues
Gandelf,2.0 out of 5 stars,Zero customer service,"It has some nice features. At least, they would be nice if the program would work. It only records workouts, steps, and heart points if it feels like it. Even when it does feel like it, it's extremely slow to pick up data from my primary device/app combo. It randomly forgets workouts that it has previously credited. (Yesterday, it went back and forth between crediting my afternoon walk or my evening workout--but never both.) The reason I gave it 3 stars instead of 1 is that it is not my primary tracker so when it fails it's no more than irritating. I simply set what it calls goals and I call minimums to something low enough that I can still keep my streak even if it drops half what I do. When it doesn't randomly drop things, it counts steps pretty close to the same as my primary app, and I have the feeling that it counts calories used rather more accurately. The only thing I'd like to see different (other than working properly) is counting heart points on a rolling week instead of Monday to Sunday and then you start over.",Performance and Stability
amazon user ,1.0 out of 5 stars,FuboTV repeatedly charged my credit card - User Beware,"Overall very good but some features have disappeared. The ability to edit tracked workouts is now very limited and I find that while not every time but sometimes I do forget to turn the app off when I finish a hike or snowshoeing skiing etc. This results in sometimes extended distance or speed. If I can change the length of the tracked work out, I can say to the app to ignore the last 5 minutes. The app no longer tracks my bike ride commuting. Worked on Pixel 2 not working Pixel 4",Functionality and Features
amazon user ,2.0 out of 5 stars,Useless. I bought it because I wanted to watch ...,"Good when it works, but only in terms of its look and feel. The app is very barebones and while it tries to do a little bit of everything it doesnt really do anything great. For example, it has a sleep log but no built in way to actually track your sleep. You cant even clock in and out of sleep. You just have to remember the exact times and enter them the next day. Very unreliable. Step tracker is fine, but really has nothing to do with this app, since amazon stores all of your step data anyway.",Performance and Stability
